STCODE,STNAME,DIST,DISTNAME,YEAR,CATL_T,CATL_AM,CATL_AF,CATL_YM,CATL_YF,CATL_YMF,BUFF_T,BUFF_AM,BUFF_AF,BUFF_YM,BUFF_YF,BUFF_YMF,SHEEP_T,GOAT_T,HORSE_T,DONKEY_T,CAMEL_T,PIG_T,LIVESTOCK_T,POULTRY_T
2,Bihar,905,Purnea,2007,2435.95,530.96,872.64,-1.00,-1.00,1032.37,623.72,78.74,268.59,-1.00,-1.00,276.39,3.53,2226.83,3.54,0.11,0.00,59.31,5352.97,3215.45
2,Bihar,905,Purnia,2012,2193.14,399.95,961.93,260.07,571.20,831.27,578.98,60.40,288.38,80.44,149.78,230.21,10.90,2482.64,10.58,0.89,0.94,69.29,5347.36,2893.03
2,Bihar,906,Saran,1966,655.18,335.29,155.47,77.40,87.03,164.42,216.45,0.52,129.85,21.08,64.99,86.07,31.25,419.33,6.89,11.70,0.02,11.92,1352.79,97.91
2,Bihar,906,Saran,1972,656.18,384.52,147.35,60.73,63.58,124.31,224.91,0.70,152.50,15.07,56.64,71.71,27.14,406.66,3.15,12.23,0.05,18.07,1348.41,106.54
2,Bihar,906,Saran,1977,659.82,409.54,135.08,54.39,60.83,115.20,268.06,1.15,162.80,28.06,76.07,104.11,24.24,556.10,2.99,12.12,0.07,17.44,1540.91,162.03
2,Bihar,906,Saran,2003,665.93,152.56,243.06,99.14,171.18,270.31,413.50,4.84,230.18,37.32,141.15,178.48,11.50,585.62,0.00,5.37,0.02,30.56,1712.50,701.35
2,Bihar,906,Saran,2007,791.38,122.56,336.13,-1.00,-1.00,332.67,464.03,4.68,271.79,-1.00,-1.00,187.56,10.53,528.08,3.27,6.12,0.02,48.73,1852.13,941.96
2,Bihar,906,Saran,2012,804.46,63.21,447.70,76.16,217.41,293.57,451.76,5.97,280.21,31.86,133.71,165.57,7.40,633.22,3.03,2.64,1.25,25.03,1928.79,702.98
2,Bihar,907,Patna,1966,546.37,276.16,120.55,69.46,80.20,149.66,265.86,27.02,129.14,40.86,68.85,109.70,25.06,263.40,4.77,1.55,0.00,26.86,1134.02,227.42
2,Bihar,907,Patna,1972,472.49,263.42,105.20,48.33,55.54,103.87,250.66,26.30,137.80,30.43,56.13,86.56,14.11,184.24,3.72,1.16,0.01,33.03,959.44,234.19
