STCODE,STNAME,DIST,DISTNAME,YEAR,CANALS,TANKS,TUBEWELL,OTHWELL,TOTWELL,OTHSOUR
2,Bihar,901,Champaran,1966,81.39,0.47,3.39,0.83,4.22,7.96
2,Bihar,901,Champaran,1967,83.79,0.67,5.33,0.84,6.17,9.93
2,Bihar,901,Champaran,1968,90.76,2.96,13.82,2.15,15.97,13.73
2,Bihar,901,Champaran,1969,102.98,4.51,25.64,1.28,26.92,14.27
2,Bihar,901,Champaran,1970,108.50,4.53,35.34,2.32,37.66,13.59
2,Bihar,901,Champaran,1971,111.32,4.98,36.69,2.32,39.01,13.47
2,Bihar,901,Champaran,1972,124.86,2.63,51.30,0.97,52.27,14.73
2,Bihar,901,Champaran,1973,99.54,2.91,43.85,0.76,44.61,12.83
2,Bihar,901,Champaran,1974,102.96,3.55,39.41,0.47,39.88,11.23
2,Bihar,901,Champaran,1975,97.55,1.64,54.01,1.31,55.32,14.87
2,Bihar,901,Champaran,1976,152.49,1.80,53.54,0.65,54.19,12.03
2,Bihar,901,Champaran,1977,144.22,1.18,52.71,0.49,53.20,10.23
2,Bihar,901,Champaran,1978,145.12,1.63,61.14,1.43,62.57,11.45
2,Bihar,901,Champaran,1979,137.60,1.39,58.25,1.11,59.36,12.99
2,Bihar,901,Champaran,1980,139.66,2.80,60.77,0.85,61.62,13.15
2,Bihar,901,Champaran,1981,165.53,4.45,55.16,3.70,58.86,8.79
2,Bihar,901,Champaran,1982,121.78,1.84,29.54,1.34,30.88,2.77
2,Bihar,901,Champaran,1983,137.97,2.78,33.02,4.87,37.89,6.69
2,Bihar,901,Champaran,1984,119.40,2.44,38.72,5.71,44.43,5.88
2,Bihar,901,Champaran,1985,112.20,2.50,48.12,2.09,50.21,12.90
2,Bihar,901,Champaran,1986,126.58,6.05,31.27,7.62,38.89,31.70
2,Bihar,901,Champaran,1987,128.50,1.65,65.12,0.85,65.97,13.16
2,Bihar,901,Champaran,1988,152.69,5.84,44.69,8.46,53.15,38.41
2,Bihar,901,Champaran,1989,62.31,2.67,65.96,7.66,73.62,39.58
2,Bihar,901,Champaran,1990,78.04,4.28,115.02,4.04,119.06,27.96
2,Bihar,901,Champaran,1991,73.73,3.15,72.83,18.35,91.18,14.52
2,Bihar,901,Champaran,1992,86.72,1.27,163.56,5.75,169.31,9.33
2,Bihar,901,Champaran,1993,109.13,0.40,127.55,4.82,132.37,20.89
2,Bihar,901,Champaran,1994,85.34,0.40,99.03,2.23,101.26,16.08
2,Bihar,901,Champaran,1995,156.22,0.00,153.62,0.00,153.62,23.98
2,Bihar,901,Champaran,1996,41.89,1.18,97.17,5.69,102.86,30.85
2,Bihar,901,Champaran,1997,98.00,0.00,120.00,0.00,120.00,4.00
2,Bihar,901,Champaran,1998,104.47,0.15,155.98,0.00,155.98,18.48
2,Bihar,901,Champaran,1999,100.18,0.00,151.15,0.00,151.15,12.64
2,Bihar,901,Champaran,2000,138.73,0.00,190.91,0.00,190.91,25.79
2,Bihar,901,Champaran,2001,104.87,0.08,240.64,0.00,240.64,10.94
2,Bihar,901,Champaran,2002,96.32,0.10,203.84,0.00,203.84,14.44
2,Bihar,901,Champaran,2003,91.73,0.48,193.36,0.85,194.21,8.01
2,Bihar,901,Champaran,2004,81.51,0.00,217.45,0.00,217.45,8.98
2,Bihar,901,Champaran,2005,79.53,0.00,168.10,0.00,248.10,11.74
2,Bihar,901,Champaran,2006,66.88,0.00,255.91,0.00,255.91,0.38
2,Bihar,901,Champaran,2007,75.38,0.00,262.60,0.00,262.60,0.38
2,Bihar,901,Champaran,2008,63.01,0.00,271.60,0.00,271.60,3.42
2,Bihar,901,Champaran,2009,68.84,0.01,215.78,0.00,215.78,1.03
2,Bihar,901,Champaran,2010,93.22,0.01,184.19,0.00,184.19,3.49
2,Bihar,901,Champaran,2011,124.38,0.01,192.81,0.00,192.81,3.70
2,Bihar,902,Muzaffarpur,1966,0.00,1.51,9.04,4.99,14.03,5.14
2,Bihar,902,Muzaffarpur,1967,0.75,1.78,5.60,4.13,9.73,2.70
2,Bihar,902,Muzaffarpur,1968,0.90,0.92,11.20,2.83,14.03,1.80
2,Bihar,902,Muzaffarpur,1969,0.72,1.43,16.49,3.82,20.31,6.34
2,Bihar,902,Muzaffarpur,1970,0.55,4.54,19.62,6.03,25.65,7.97
2,Bihar,902,Muzaffarpur,1971,0.14,1.92,26.16,4.07,30.23,8.03
2,Bihar,902,Muzaffarpur,1972,0.15,2.76,34.28,3.68,37.96,5.80
2,Bihar,902,Muzaffarpur,1973,0.06,3.49,46.63,3.43,50.06,5.74
2,Bihar,902,Muzaffarpur,1974,0.32,4.34,63.01,3.76,66.77,9.88
2,Bihar,902,Muzaffarpur,1975,0.10,3.14,102.53,8.98,111.51,14.45
2,Bihar,902,Muzaffarpur,1976,1.72,7.43,120.37,4.73,125.10,12.59
2,Bihar,902,Muzaffarpur,1977,1.05,4.79,106.46,4.46,110.92,10.53
2,Bihar,902,Muzaffarpur,1978,2.13,5.44,95.44,8.26,103.70,8.77
2,Bihar,902,Muzaffarpur,1979,4.53,3.91,100.95,10.21,111.16,19.09
2,Bihar,902,Muzaffarpur,1980,14.00,9.75,79.32,15.09,94.41,13.72
2,Bihar,902,Muzaffarpur,1981,8.36,7.66,61.13,21.63,82.76,13.34
2,Bihar,902,Muzaffarpur,1982,25.12,5.73,74.11,8.40,82.51,14.70
2,Bihar,902,Muzaffarpur,1983,24.60,3.11,90.68,2.56,93.24,14.32
2,Bihar,902,Muzaffarpur,1984,5.84,16.14,101.82,0.86,102.68,36.90
2,Bihar,902,Muzaffarpur,1985,2.22,21.12,78.91,1.42,80.33,54.31
2,Bihar,902,Muzaffarpur,1986,1.70,6.43,94.95,6.06,101.01,53.91
2,Bihar,902,Muzaffarpur,1987,2.78,7.14,114.88,10.75,125.63,54.11
2,Bihar,902,Muzaffarpur,1988,2.88,19.88,148.82,0.17,148.99,22.29
2,Bihar,902,Muzaffarpur,1989,2.70,4.16,168.57,18.22,186.79,12.51
2,Bihar,902,Muzzafarpur,1990,8.75,3.41,155.74,0.08,155.82,23.63
2,Bihar,902,Muzzafarpur,1991,3.90,4.16,157.16,1.20,158.36,23.42
2,Bihar,902,Muzzafarpur,1992,2.49,3.80,156.93,4.56,161.49,18.94
2,Bihar,902,Muzzafarpur,1993,2.14,4.03,179.29,6.04,185.33,22.46
2,Bihar,902,Muzzafarpur,1994,2.82,2.31,153.65,8.80,162.45,40.20
2,Bihar,902,Muzaffarpur,1995,2.29,3.19,178.05,6.17,184.22,28.65
2,Bihar,902,Muzaffarpur,1996,153.70,3.06,142.20,1.46,143.67,55.86
2,Bihar,902,Muzaffarpur,1997,3.00,7.00,175.00,5.00,180.00,26.00
2,Bihar,902,Muzaffarpur,1998,3.08,7.58,209.39,6.79,216.18,11.45
2,Bihar,902,Muzaffarpur,1999,3.03,6.95,201.18,6.70,207.88,10.72
2,Bihar,902,Muzaffarpur,2000,1.94,4.54,206.07,6.39,212.45,7.27
2,Bihar,902,Muzaffarpur,2001,2.16,7.26,229.39,7.66,237.05,9.91
2,Bihar,902,Muzaffarpur,2002,2.17,7.46,227.87,7.09,234.96,10.02
2,Bihar,902,Muzaffarpur,2003,1.49,4.73,220.19,6.76,226.95,5.18
2,Bihar,902,Muzaffarpur,2004,0.00,1.42,234.54,1.37,235.91,3.72
2,Bihar,902,Muzaffarpur,2005,2.84,1.87,219.03,0.00,219.03,6.34
2,Bihar,902,Muzaffarpur,2006,20.01,42.63,179.50,0.00,179.50,11.28
2,Bihar,902,Muzaffarpur,2007,19.70,38.56,192.18,0.00,192.18,8.75
2,Bihar,902,Muzaffarpur,2008,18.09,25.42,190.22,0.00,190.22,18.63
2,Bihar,902,Muzaffarpur,2009,22.79,1.37,232.51,0.00,232.51,10.07
2,Bihar,902,Muzaffarpur,2010,31.49,1.86,238.03,0.00,238.03,12.32
2,Bihar,902,Muzaffarpur,2011,28.69,2.21,232.31,0.00,232.31,10.99
2,Bihar,903,Darbhanga,1966,9.44,6.80,4.05,2.11,6.16,2.76
2,Bihar,903,Darbhanga,1967,11.94,4.69,6.77,0.76,7.53,4.66
2,Bihar,903,Darbhanga,1968,11.55,7.93,12.51,1.19,13.70,11.55
2,Bihar,903,Darbhanga,1969,16.76,12.07,15.40,1.18,16.58,11.47
2,Bihar,903,Darbhanga,1970,13.30,13.81,13.24,2.18,15.42,21.64
2,Bihar,903,Darbhanga,1971,5.55,13.69,26.33,0.86,27.19,15.66
2,Bihar,903,Darbhanga,1972,9.09,8.16,24.19,1.25,25.44,13.52
2,Bihar,903,Darbhanga,1973,13.23,8.15,41.50,1.93,43.43,6.19
2,Bihar,903,Darbhanga,1974,9.39,9.49,44.62,3.56,48.18,21.89
2,Bihar,903,Darbhanga,1975,5.59,21.74,62.15,3.35,65.50,36.31
2,Bihar,903,Darbhanga,1976,12.27,24.36,78.35,3.03,81.38,24.53
2,Bihar,903,Darbhanga,1977,7.97,14.30,71.14,4.88,76.02,20.90
2,Bihar,903,Darbhanga,1978,6.58,15.77,61.87,4.34,66.21,17.27
2,Bihar,903,Darbhanga,1979,7.71,15.37,67.80,1.06,68.86,14.66
2,Bihar,903,Darbhanga,1980,9.32,15.09,62.27,2.77,65.04,23.66
2,Bihar,903,Darbhanga,1981,10.42,13.03,71.79,2.97,74.76,16.85
2,Bihar,903,Darbhanga,1982,11.59,9.58,52.58,6.54,59.12,9.12
2,Bihar,903,Darbhanga,1983,4.92,13.37,77.86,1.17,79.03,12.19
2,Bihar,903,Darbhanga,1984,2.19,20.19,86.16,1.28,87.44,25.24
2,Bihar,903,Darbhanga,1985,3.24,11.31,88.66,0.78,89.44,20.04
2,Bihar,903,Darbhanga,1986,3.84,14.88,97.27,0.91,98.18,15.10
2,Bihar,903,Darbhanga,1987,12.61,13.32,107.70,0.07,107.77,18.16
2,Bihar,903,Darbhanga,1988,4.68,15.10,124.24,0.48,124.72,40.84
2,Bihar,903,Darbhanga,1989,2.50,17.22,133.60,1.84,135.44,27.95
2,Bihar,903,Darbhanga,1990,3.12,25.69,137.49,0.81,138.30,31.63
2,Bihar,903,Darbhanga,1991,0.69,32.56,150.14,1.16,151.30,30.04
2,Bihar,903,Darbhanga,1992,0.31,5.71,163.38,2.35,165.73,27.30
2,Bihar,903,Darbhanga,1993,2.68,45.07,195.33,8.68,204.01,14.51
2,Bihar,903,Darbhanga,1994,8.71,33.25,191.93,0.02,191.95,25.34
2,Bihar,903,Darbhanga,1995,16.42,28.18,174.20,0.00,174.20,26.94
2,Bihar,903,Darbhanga,1996,6.57,35.18,171.51,0.00,171.51,24.13
2,Bihar,903,Darbhanga,1997,6.00,48.00,129.00,0.00,129.00,34.00
2,Bihar,903,Darbhanga,1998,6.48,49.87,124.85,0.00,124.85,42.56
2,Bihar,903,Darbhanga,1999,6.27,62.07,146.61,0.00,146.61,25.46
2,Bihar,903,Darbhanga,2000,4.05,57.83,168.07,0.00,168.07,13.27
2,Bihar,903,Darbhanga,2001,0.00,47.47,202.02,0.00,202.02,5.99
2,Bihar,903,Darbhanga,2002,0.00,60.81,195.09,0.00,195.09,4.16
2,Bihar,903,Darbhanga,2003,0.00,68.99,203.04,0.00,203.04,2.94
2,Bihar,903,Darbhanga,2004,0.00,50.55,227.53,0.00,227.53,3.85
2,Bihar,903,Darbhanga,2005,0.00,51.23,212.11,0.00,212.11,0.00
2,Bihar,903,Darbhanga,2006,0.00,54.43,193.31,0.00,193.31,11.79
2,Bihar,903,Darbhanga,2007,0.00,57.35,210.39,0.00,210.39,16.30
2,Bihar,903,Darbhanga,2008,0.00,53.63,261.07,0.00,261.07,0.00
2,Bihar,903,Darbhanga,2009,37.96,60.72,215.45,0.00,215.45,10.48
2,Bihar,903,Darbhanga,2010,55.70,53.72,192.99,0.00,192.99,7.93
2,Bihar,903,Darbhanga,2011,53.40,46.72,171.43,0.00,171.43,6.95
2,Bihar,904,Saharsa,1966,18.67,0.32,0.86,0.59,1.45,0.47
2,Bihar,904,Saharsa,1967,30.72,1.01,2.70,0.49,3.19,0.28
2,Bihar,904,Saharsa,1968,31.62,0.61,6.07,1.90,7.97,1.03
2,Bihar,904,Saharsa,1969,38.86,0.19,3.93,0.83,4.76,1.24
2,Bihar,904,Saharsa,1970,39.54,0.21,6.45,0.16,6.61,2.69
2,Bihar,904,Saharsa,1971,47.28,0.46,9.74,0.29,10.03,2.76
2,Bihar,904,Saharsa,1972,47.61,1.02,16.43,0.28,16.71,4.69
2,Bihar,904,Saharsa,1973,33.30,0.77,19.37,0.38,19.75,1.58
2,Bihar,904,Saharsa,1974,49.51,0.32,28.88,0.23,29.11,9.20
2,Bihar,904,Saharsa,1975,59.27,0.89,50.45,0.82,51.27,9.14
2,Bihar,904,Saharsa,1976,60.29,1.88,52.53,3.52,56.05,9.81
2,Bihar,904,Saharsa,1977,52.20,1.87,32.65,1.42,34.07,7.55
2,Bihar,904,Saharsa,1978,50.49,3.79,39.04,2.88,41.92,10.90
2,Bihar,904,Saharsa,1979,67.17,2.38,41.29,1.28,42.57,19.47
2,Bihar,904,Saharsa,1980,62.14,5.42,34.24,4.26,38.50,17.63
2,Bihar,904,Saharsa,1981,65.85,6.12,33.13,2.82,35.95,14.31
2,Bihar,904,Saharsa,1982,36.00,8.95,21.49,0.30,21.79,8.64
2,Bihar,904,Saharsa,1983,44.27,0.40,34.17,0.33,34.50,12.64
2,Bihar,904,Saharsa,1984,41.17,1.13,29.98,1.48,31.46,11.36
2,Bihar,904,Saharsa,1985,68.10,0.80,20.58,1.58,22.16,9.30
2,Bihar,904,Saharsa,1986,52.24,3.87,37.21,0.31,37.52,9.14
2,Bihar,904,Saharsa,1987,64.16,3.47,37.85,0.45,38.30,12.37
2,Bihar,904,Saharsa,1988,81.94,1.67,53.98,2.20,56.18,19.71
2,Bihar,904,Saharsa,1989,59.21,0.06,63.97,1.47,65.44,12.24
2,Bihar,904,Saharsa,1990,73.93,3.82,71.79,8.58,80.37,5.26
2,Bihar,904,Saharsa,1991,73.15,1.39,75.21,5.70,80.91,18.25
2,Bihar,904,Saharsa,1992,73.85,1.08,74.28,7.31,81.59,20.53
2,Bihar,904,Saharsa,1993,54.90,1.44,69.92,11.12,81.04,60.38
2,Bihar,904,Saharsa,1994,68.69,6.24,82.41,9.45,91.86,42.89
2,Bihar,904,Saharsa,1995,47.67,4.25,54.33,0.00,54.33,26.72
2,Bihar,904,Saharsa,1996,65.18,6.13,58.23,1.73,59.96,36.94
2,Bihar,904,Saharsa,1997,88.00,1.00,148.00,0.00,148.00,6.00
2,Bihar,904,Saharsa,1998,92.13,1.93,144.69,0.43,145.12,10.86
2,Bihar,904,Saharsa,1999,79.88,1.16,133.01,1.54,134.55,11.46
2,Bihar,904,Saharsa,2000,35.55,0.00,116.01,0.00,116.02,5.86
2,Bihar,904,Saharsa,2001,42.01,0.47,101.68,1.69,103.38,3.74
2,Bihar,904,Saharsa,2002,46.02,1.12,99.92,0.34,100.26,6.03
2,Bihar,904,Saharsa,2003,56.16,0.58,98.83,0.00,98.83,3.87
2,Bihar,904,Saharsa,2004,39.26,0.00,93.19,0.00,93.19,2.58
2,Bihar,904,Saharsa,2005,45.87,1.44,174.97,0.00,174.97,5.98
2,Bihar,904,Saharsa,2006,27.59,0.37,88.33,0.00,88.33,5.28
2,Bihar,904,Saharsa,2007,23.96,0.03,85.02,0.00,85.02,12.94
2,Bihar,904,Saharsa,2008,27.40,0.06,109.70,0.00,109.70,12.41
2,Bihar,904,Saharsa,2009,19.67,0.00,135.01,0.00,135.01,9.40
2,Bihar,904,Saharsa,2010,20.50,0.00,107.78,0.00,107.78,4.05
2,Bihar,904,Saharsa,2011,16.29,0.00,94.83,0.00,94.83,3.61
2,Bihar,905,Purnea,1966,17.80,0.00,0.28,0.44,0.72,0.93
2,Bihar,905,Purnea,1967,35.34,0.04,0.35,0.21,0.56,1.33
2,Bihar,905,Purnea,1968,51.40,0.11,2.50,0.05,2.55,2.15
2,Bihar,905,Purnea,1969,47.14,0.16,4.45,0.18,4.63,1.74
2,Bihar,905,Purnea,1970,49.73,0.12,10.00,0.11,10.11,4.58
2,Bihar,905,Purnea,1971,49.98,0.16,8.65,0.35,9.00,6.76
2,Bihar,905,Purnea,1972,47.47,0.45,18.33,2.14,20.47,6.81
2,Bihar,905,Purnea,1973,33.96,0.08,15.56,0.19,15.75,7.31
2,Bihar,905,Purnea,1974,33.86,0.09,23.69,1.75,25.44,8.28
2,Bihar,905,Purnea,1975,30.30,0.14,32.14,1.42,33.56,11.28
2,Bihar,905,Purnea,1976,36.04,0.27,47.78,1.04,48.82,6.21
2,Bihar,905,Purnea,1977,41.58,0.38,41.99,0.67,42.66,3.91
2,Bihar,905,Purnea,1978,48.92,1.76,35.33,0.21,35.54,8.83
2,Bihar,905,Purnea,1979,45.71,1.02,31.60,1.99,33.59,9.31
2,Bihar,905,Purnea,1980,46.19,0.80,38.25,3.27,41.52,7.62
2,Bihar,905,Purnea,1981,51.16,1.16,35.99,5.44,41.43,8.96
2,Bihar,905,Purnea,1982,44.19,3.07,44.94,3.62,48.56,15.91
2,Bihar,905,Purnea,1983,67.85,0.72,52.19,1.74,53.93,13.20
2,Bihar,905,Purnea,1984,55.55,0.31,54.73,0.18,54.91,12.81
2,Bihar,905,Purnea,1985,42.01,1.91,80.52,1.09,81.61,17.44
2,Bihar,905,Purnea,1986,48.45,0.44,58.64,0.00,58.64,15.94
2,Bihar,905,Purnea,1987,68.42,0.27,68.67,0.00,68.67,44.65
2,Bihar,905,Purnea,1988,86.05,0.45,84.87,1.07,85.94,18.80
2,Bihar,905,Purnea,1989,59.60,1.55,84.68,0.00,84.68,11.19
2,Bihar,905,Purnea,1990,41.06,0.57,104.21,1.77,105.98,21.47
2,Bihar,905,Purnea,1991,45.50,0.59,181.70,1.60,183.30,19.55
2,Bihar,905,Purnea,1992,37.85,2.89,178.52,5.89,184.41,16.39
2,Bihar,905,Purnea,1993,49.99,1.06,180.15,5.71,185.86,22.65
2,Bihar,905,Purnea,1994,48.00,1.48,202.30,7.06,209.36,14.82
2,Bihar,905,Purnia,1995,41.70,1.32,182.32,0.00,182.32,58.98
2,Bihar,905,Purnia,1996,35.48,2.45,191.65,0.00,191.65,25.89
2,Bihar,905,Purnea,1997,31.00,3.00,193.00,0.00,193.00,25.00
2,Bihar,905,Purnea,1998,35.54,2.76,207.12,0.00,207.12,12.57
2,Bihar,905,Purnea,1999,27.62,1.62,241.41,0.00,241.41,6.71
2,Bihar,905,Purnea,2000,14.42,0.05,245.93,0.00,245.93,5.22
2,Bihar,905,Purnea,2001,10.80,0.00,276.33,0.00,276.33,0.00
2,Bihar,905,Purnea,2002,11.26,0.05,272.87,0.00,272.87,0.00
2,Bihar,905,Purnea,2003,11.73,0.00,271.15,0.00,271.15,0.00
2,Bihar,905,Purnea,2004,14.67,0.00,236.88,0.00,236.88,0.00
2,Bihar,905,Purnea,2005,44.41,0.72,195.95,0.00,195.95,0.32
2,Bihar,905,Purnea,2006,26.80,4.54,227.20,0.00,227.20,15.93
2,Bihar,905,Purnea,2007,23.70,0.00,244.62,0.00,244.62,21.63
2,Bihar,905,Purnea,2008,0.00,0.00,336.21,0.00,336.21,2.81
2,Bihar,905,Purnea,2009,0.00,0.00,323.56,0.00,323.56,0.23
2,Bihar,905,Purnea,2010,46.97,0.00,260.64,0.09,260.73,3.08
2,Bihar,905,Purnea,2011,40.02,0.00,207.30,0.06,207.36,2.45
2,Bihar,906,Saran,1966,0.15,8.68,9.73,90.66,100.39,6.69
2,Bihar,906,Saran,1967,0.15,10.16,9.39,93.86,103.25,10.36
2,Bihar,906,Saran,1968,1.23,12.05,26.63,72.74,99.37,17.45
2,Bihar,906,Saran,1969,0.01,11.69,26.51,77.60,104.11,18.70
2,Bihar,906,Saran,1970,0.18,12.00,32.56,74.58,107.14,12.50
2,Bihar,906,Saran,1971,0.00,7.90,46.93,82.89,129.82,17.78
2,Bihar,906,Saran,1972,0.71,5.64,62.18,70.97,133.15,14.62
