STCODE,STNAME,DIST,DISTNAME,YEAR,PPMRKT,PSMRKT,PTMRKT,LROAD
2,Bihar,902,Muzaffarpur,1982,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1983,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1984,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1985,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1986,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1987,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1988,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1989,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1990,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1991,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1992,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1993,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1994,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1995,10.0,31.0,41.0,-1.0
2,Bihar,902,Muzaffarpur,1996,10.0,31.0,41.0,-1.0
2,Bihar,902,Muzaffarpur,1997,10.0,31.0,41.0,-1.0
2,Bihar,902,Muzaffarpur,1998,10.0,31.0,41.0,-1.0
2,Bihar,902,Muzaffarpur,1999,10.0,31.0,41.0,-1.0
2,Bihar,902,Muzaffarpur,2000,10.0,31.0,41.0,1049.9
2,Bihar,903,Darbhanga,1966,-1.0,-1.0,-1.0,657.0
2,Bihar,903,Darbhanga,1967,-1.0,-1.0,-1.0,657.0
2,Bihar,903,Darbhanga,1968,-1.0,-1.0,-1.0,657.0
2,Bihar,903,Darbhanga,1969,-1.0,-1.0,-1.0,657.0
